stop_id,time_interval,result
1308427,16,Written Warning
1308428,16,Verbal Warning
1308430,16,Citation
1308429,16,NULL
1308431,16,Citation
1308432,16,Citation
1308433,16,NULL
1308434,16,NULL
1308435,16,NULL
1308436,16,NULL
1308440,17,Verbal Warning
1308437,16,NULL
1308439,17,NULL
1308438,16,NULL
1308441,16,Searched
1308442,17,Verbal Warning
1308443,17,Citation
1308444,16,Citation
1308445,17,Citation
1308447,17,Citation
1308446,17,Verbal Warning
1308448,17,NULL
1308449,17,Verbal Warning
1308450,17,Arrested
1308451,16,Searched
1308452,17,Citation
1308454,17,Citation
1308453,17,Citation
1308455,17,Verbal Warning
1308456,17,Verbal Warning
1308459,17,NULL
1308457,17,NULL
1308458,17,NULL
1308461,18,Citation
1308460,18,Verbal Warning
1308462,17,NULL
1308464,18,Citation
1308466,17,NULL
1308463,17,NULL
1308465,17,Verbal Warning
1308467,13,Arrested
1308468,18,Citation
1308469,18,Verbal Warning
1308470,18,Verbal Warning
1308471,17,Citation
1308473,18,Verbal Warning
1308472,18,Verbal Warning
1308475,15,Verbal Warning
1308474,17,Searched
1308476,18,Citation
1308478,18,Citation
1308477,18,Verbal Warning
1308479,18,Verbal Warning
1308480,00,Citation
1308481,18,Verbal Warning
1308483,18,Citation
1308482,13,Citation
1308484,13,Citation
1308486,13,Citation
1308485,13,Citation
1308487,13,Citation
1308489,14,Citation
1308488,13,Citation
1308491,18,NULL
1308490,18,Verbal Warning
1308493,15,Citation
1308494,19,Verbal Warning
1308492,14,Citation
1308495,18,NULL
1308496,18,Citation
1308498,15,Citation
1308497,16,Citation
1308499,18,Citation
1308501,16,Citation
1308500,16,Citation
1308502,18,NULL
1308503,18,Citation
1308504,17,Verbal Warning
1308505,18,Citation
1308506,19,Verbal Warning
1308507,19,Citation
1308508,19,Citation
1308509,19,NULL
1308510,19,NULL
1308511,19,NULL
1308512,17,Verbal Warning
1308513,19,Verbal Warning
1308514,19,Citation
1308515,19,NULL
1308516,20,NULL
1308517,20,Verbal Warning
1308519,20,NULL
1308518,20,NULL
1308520,20,Citation
1308521,20,Written Warning
1308522,20,Verbal Warning
1308523,20,Verbal Warning
1308524,20,Verbal Warning
1308525,20,FI
1308526,20,Citation
1308527,20,Citation
1308528,20,NULL
1308530,20,NULL
1308529,20,NULL
1308531,21,Citation
1308532,21,Verbal Warning
1308533,21,Citation
1308534,21,Verbal Warning
1308535,21,Citation
1308536,22,Citation
1308537,22,Verbal Warning
1308538,17,Citation
1308539,22,Written Warning
1308540,22,Verbal Warning
1308541,22,Verbal Warning
1308542,22,Citation
1308543,22,Verbal Warning
1308544,22,Verbal Warning
1308545,23,Citation
1308546,11,Arrested
1308547,00,Verbal Warning
1308548,23,Citation
1308549,23,Verbal Warning
1308551,23,Citation
1308550,23,Citation
1308552,23,Verbal Warning
1308553,23,Verbal Warning
1308554,23,Citation
1308555,22,Arrested
1308556,01,Citation
1308557,01,Citation
1308558,01,Verbal Warning
1308559,01,Verbal Warning
1308560,01,Verbal Warning
1308561,03,Citation
1308562,04,Citation
1308563,04,Verbal Warning
1308564,04,Citation
1308565,00,Arrested
1308566,05,Arrested
1308567,05,Verbal Warning
1308568,06,Verbal Warning
1308569,07,Citation
1308570,07,Citation
1308571,06,Citation
1308572,07,Searched
1308573,07,Citation
1308574,08,Searched
1308575,07,Searched
1308576,08,Searched
1308577,08,Verbal Warning
1308578,08,Citation
1308579,09,Citation
1308580,09,Citation
1308582,08,Citation
1308581,08,Citation
1308583,08,Citation
1308585,09,Citation
1308584,09,Citation
1308586,09,Citation
1308587,10,Verbal Warning
1308588,10,Citation
1308589,10,Verbal Warning
1308590,09,Searched
1308591,10,Verbal Warning
1308592,10,Verbal Warning
1308593,10,Citation
1308594,10,Citation
1308595,10,Verbal Warning
1308596,11,Citation
1308597,11,Verbal Warning
1308598,11,Verbal Warning
1308599,11,Verbal Warning
1308600,11,Citation
1308601,11,Citation
1308602,11,Citation
1308603,00,Verbal Warning
1308604,00,Citation
1308605,12,Verbal Warning
1308606,00,Citation
1308607,00,Verbal Warning
1308608,13,Citation
1308609,13,Citation
1308610,13,Verbal Warning
1308611,13,Citation
1308612,14,Citation
1308613,09,Arrested
1308614,14,Verbal Warning
1308615,14,Searched
1308616,15,Verbal Warning
1308617,14,FI
1308618,15,Citation
1308619,15,Citation
1308620,15,Citation
1308621,15,Citation
1308622,15,Citation
1308623,16,Verbal Warning
1308624,16,Citation
1308625,15,Citation
1308626,16,FI
1308627,16,Verbal Warning
1308628,16,Verbal Warning
1308629,16,Citation
1308630,16,Verbal Warning
1308631,16,Verbal Warning
1308632,16,Citation
1308633,16,Citation
1308634,17,Verbal Warning
1308635,17,Verbal Warning
1308636,16,Verbal Warning
1308637,17,Citation
1308638,17,Citation
1308641,16,Citation
1308642,17,Citation
1308639,17,Verbal Warning
1308640,17,NULL
1308643,15,Arrested
1308644,17,FI
1308645,17,Citation
1308646,17,Citation
1308647,17,Citation
1308648,18,Searched
1308649,18,Citation
1308650,18,Written Warning
1308651,18,Verbal Warning
1308652,18,Verbal Warning
1308653,18,Citation
1308655,19,Verbal Warning
1308654,19,Citation
1308656,18,Citation
1308657,17,Arrested
1308658,19,Verbal Warning
1308659,19,Citation
1308660,19,Verbal Warning
1308661,19,Verbal Warning
1308662,19,Citation
1308663,20,Verbal Warning
1308664,21,Verbal Warning
1308665,20,Citation
1308666,20,Citation
1308667,21,Citation
1308668,21,Citation
1308669,21,Citation
1308670,21,Citation
1308671,21,Verbal Warning
1308672,21,Verbal Warning
1308673,22,Written Warning
1308674,21,Citation
1308677,21,Citation
1308675,22,Verbal Warning
1308676,22,Citation
1308678,22,Citation
1308679,22,Citation
1308680,22,Citation
1308681,22,Verbal Warning
1308682,22,Citation
1308683,23,Citation
1308684,23,Citation
1308685,21,Verbal Warning
1308686,23,Citation
1308687,00,Verbal Warning
1308688,00,Verbal Warning
1308689,00,FI
1308690,01,Written Warning
1308691,01,Verbal Warning
1308692,02,Other
1308693,02,Verbal Warning
1308694,22,Verbal Warning
1308695,03,Citation
1308696,06,Verbal Warning
1308697,06,Verbal Warning
1308698,07,Verbal Warning
1308699,08,Written Warning
1308700,08,Verbal Warning
1308701,08,Verbal Warning
1308702,08,Citation
1308703,08,Citation
1308704,09,Verbal Warning
1308705,09,Citation
1308706,08,Citation
1308707,09,Searched
1308708,09,Citation
1308709,09,Citation
1308710,09,Citation
1308711,10,Verbal Warning
1308712,10,Verbal Warning
1308713,09,Citation
1308714,10,Citation
1308715,10,Citation
1308716,10,NULL
1308717,11,Citation
1308719,11,Citation
1308718,11,NULL
1308720,11,Verbal Warning
1308721,11,Searched
1308722,11,NULL
1308723,11,Verbal Warning
1308724,00,Citation
1308725,00,Citation
1308726,00,Verbal Warning
1308727,13,Citation
1308728,14,Citation
1308729,10,Citation
1308730,14,FI
1308731,14,Verbal Warning
1308732,15,NULL
1308733,15,NULL
1308735,15,Citation
1308734,15,Citation
1308736,15,Verbal Warning
1308737,13,Citation
1308739,15,Citation
1308738,14,Citation
1308740,15,Citation
1308741,15,Written Warning
1308742,15,Verbal Warning
1308743,15,Citation
1308744,16,Citation
1308745,16,Verbal Warning
1308746,16,Citation
1308748,16,NULL
1308747,16,Citation
1308749,16,Written Warning
1308751,16,Citation
1308750,16,Verbal Warning
1308752,16,Citation
1308753,16,Verbal Warning
1308754,16,Verbal Warning
1308755,16,FI
1308756,16,NULL
1308757,16,NULL
1308758,17,NULL
1308759,17,Citation
1308760,17,NULL
1308761,17,Verbal Warning
1308763,17,Citation
1308762,17,Citation
1308764,17,Verbal Warning
1308765,17,Verbal Warning
1308766,17,Citation
1308767,17,FI
1308768,18,NULL
1308770,18,Verbal Warning
1308769,18,NULL
1308771,18,Searched
1308773,18,Citation
1308772,18,Verbal Warning
1308774,18,Verbal Warning
1308775,17,Searched
1308776,18,Verbal Warning
1308777,18,NULL
1308778,18,Verbal Warning
1308779,18,Verbal Warning
1308780,18,Citation
1308781,18,NULL
1308782,19,Citation
1308783,19,Citation
1308784,19,Verbal Warning
1308785,19,Verbal Warning
1308786,19,NULL
1308787,18,Searched
1308788,19,Verbal Warning
1308789,19,NULL
1308791,19,Citation
1308790,19,NULL
1308793,19,NULL
1308792,20,Citation
1308794,20,NULL
1308795,16,Citation
1308796,19,Citation
1308797,20,Citation
1308798,17,Arrested
1308799,20,Searched
1308800,20,Citation
1308801,20,Citation
1308803,21,Verbal Warning
1308802,21,Citation
1308804,15,Citation
1308805,21,Citation
1308806,21,Verbal Warning
1308807,21,Citation
1308808,21,Citation
1308809,22,Citation
1308810,22,Citation
1308811,22,Verbal Warning
1308812,22,Verbal Warning
1308814,22,Citation
1308815,22,Written Warning
1308813,22,Citation
1308816,22,Verbal Warning
1308817,22,Citation
1308818,22,Citation
1308819,22,Written Warning
1308820,22,Verbal Warning
1308821,22,Verbal Warning
1308823,22,Written Warning
1308822,22,Citation
1308824,20,Searched
1308825,22,Citation
1308826,21,Verbal Warning
1308827,23,Other
1308828,23,Citation
1308829,23,Citation
1308830,00,Verbal Warning
1308831,00,Verbal Warning
1308832,00,Written Warning
1308833,00,Verbal Warning
1308834,00,Citation
1308835,00,Searched
1308836,01,Citation
1308837,02,Verbal Warning
1308839,02,NULL
1308838,02,Verbal Warning
1308840,02,Written Warning
1308841,20,Citation
1308843,21,Citation
1308842,20,Citation
1308845,22,Citation
1308844,00,Citation
1308846,03,Verbal Warning
1308847,03,Verbal Warning
1308848,04,Written Warning
1308849,04,Citation
1308850,04,Verbal Warning
1308851,04,Verbal Warning
1308852,04,Verbal Warning
1308853,05,Citation
1308854,05,Verbal Warning
1308855,05,Verbal Warning
1308856,05,Citation
1308857,05,Citation
1308858,06,Verbal Warning
1308859,06,Citation
1308860,07,Citation
1308861,07,Citation
1308862,07,Verbal Warning
1308863,07,Citation
1308864,07,Citation
1308865,07,Verbal Warning
1308866,07,Citation
1308867,07,Citation
1308868,08,Citation
1308870,08,Verbal Warning
1308869,08,Citation
1308871,08,Citation
1308872,08,Citation
1308873,08,Searched
1308874,07,Citation
1308875,08,Citation
1308876,08,Verbal Warning
1308877,09,Verbal Warning
1308878,09,Citation
1308879,09,NULL
1308880,10,Citation
1308882,10,Citation
1308881,10,Verbal Warning
1308883,08,Verbal Warning
1308884,11,Verbal Warning
1308885,11,Citation
1308887,11,Citation
1308886,11,Citation
1308888,11,Citation
1308889,11,NULL
1308890,11,NULL
1308891,11,NULL
1308892,00,Verbal Warning
1308893,10,Other
1308894,00,Citation
1308895,13,Citation
1308896,14,Citation
1308897,14,NULL
1308898,14,NULL
1308900,15,Searched
1308899,14,Citation
1308901,15,Citation
1308903,15,Citation
1308902,15,Verbal Warning
1308904,15,Arrested
1308905,15,Citation
1308906,15,Citation
1308907,15,Citation
1308908,16,NULL
1308909,16,Verbal Warning
1308910,16,Verbal Warning
1308911,16,Citation
1308912,15,Citation
1308913,12,Citation
1308914,12,Citation
1308916,13,Citation
1308917,13,Citation
1308918,13,Citation
1308919,13,Citation
1308920,01,Citation
1308921,17,NULL
1308922,17,Searched
1308923,16,Citation
1308924,17,Citation
